municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
JAMAY,5,0,0,0,1,1,3,2014
JOCOTEPEC,22,4,3,4,1,2,8,2014
LA BARCA,34,0,4,8,2,8,12,2014
OCOTLÁN,20,0,3,5,0,3,9,2014
PONCITLÁN,4,0,0,0,0,3,1,2014
TIZAPÁN EL ALTO,3,0,0,0,0,1,2,2014
TOTOTLÁN,3,0,0,0,0,1,2,2014
TUXCUECA,3,0,0,1,0,2,0,2014
ZAPOTLÁN DEL REY,2,1,0,0,0,0,1,2014
CONCEPCIÓN DE BUENOS AIRES,5,0,0,0,0,0,5,2014
LA MANZANILLA DE LA PAZ,9,0,1,1,2,1,4,2014
MAZAMITLA,45,2,5,8,3,2,25,2014
PIHUAMO,1,0,0,1,0,0,0,2014
QUITUPAN,1,0,0,1,0,0,0,2014
SANTA MARÍA DEL ORO,3,0,0,1,0,1,1,2014
TAMAZULA DE GORDIANO,7,0,0,1,1,3,2,2014
TECALITLÁN,3,0,0,0,0,2,1,2014
VALLE DE JUÁREZ,1,0,0,1,0,0,0,2014
AMACUECA,2,0,0,0,0,0,2,2014
ATEMAJAC DE BRIZUELA,3,0,0,0,0,0,3,2014
ATOYAC,2,1,0,0,0,0,1,2014
GÓMEZ FARÍAS,2,0,0,0,1,0,1,2014
SAN GABRIEL,2,0,0,0,1,0,1,2014
SAYULA,8,2,2,1,1,1,1,2014
TAPALPA,59,5,8,10,1,1,34,2014
TONILA,1,0,0,1,0,0,0,2014
TUXPAN,4,0,0,1,1,1,1,2014
ZACOALCO DE TORRES,5,0,0,0,0,2,3,2014
ZAPOTILTIC,5,0,0,0,1,1,3,2014
ZAPOTITLÁN DE VADILLO,1,0,0,0,0,0,1,2014
ZAPOTLÁN EL GRANDE,15,3,2,5,4,0,1,2014
ATENGO,2,0,0,0,0,0,2,2014
CHIQUILISTLÁN,2,0,0,0,0,0,2,2014
EL GRULLO,4,0,1,0,1,0,2,2014
EL LIMÓN,1,0,0,0,0,1,0,2014
JUCHITLÁN,1,0,0,0,0,0,1,2014
TECOLOTLÁN,5,0,0,0,0,3,2,2014
TENAMAXTLÁN,1,0,0,0,0,1,0,2014
TONAYA,1,0,0,0,0,0,1,2014
UNIÓN DE TULA,3,0,0,1,0,2,0,2014
AUTLÁN DE NAVARRO,7,0,0,3,1,1,2,2014
CASIMIRO CASTILLO,2,0,0,1,0,1,0,2014
CIHUATLÁN,129,0,9,29,24,25,42,2014
LA HUERTA,35,6,2,3,4,5,15,2014
VILLA PURIFICACIÓN,3,0,0,0,1,1,1,2014
CABO CORRIENTES,6,1,0,2,1,0,2,2014
PUERTO VALLARTA,292,26,30,28,12,11,185,2014
TOMATLÁN,8,1,1,0,1,0,5,2014
ATENGUILLO,1,0,0,0,0,1,0,2014
AYUTLA,2,0,0,0,0,1,1,2014
GUACHINANGO,2,0,0,0,0,0,2,2014
MASCOTA,22,2,5,9,1,0,5,2014
SAN SEBASTIÁN DEL OESTE,18,2,1,4,3,2,6,2014
TALPA DE ALLENDE,37,0,1,3,2,8,23,2014
AHUALULCO DE MERCADO,5,1,1,0,0,1,2,2014
AMATITÁN,2,0,0,0,0,0,2,2014
AMECA,6,0,0,2,0,4,0,2014
COCULA,4,0,0,1,1,1,1,2014
EL ARENAL,3,0,0,0,0,0,3,2014
ETZATLÁN,5,0,1,1,0,1,2,2014
HOSTOTIPAQUILLO,2,0,0,0,0,0,2,2014
MAGDALENA,5,0,0,0,0,4,1,2014
