municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
TUXCUECA,22,0,0,5,0,0,17,2015
ZAPOTLÁN DEL REY,20,5,0,0,0,0,15,2015
CONCEPCIÓN DE BUENOS AIRES,140,0,0,0,0,0,140,2015
LA MANZANILLA DE LA PAZ,85,0,10,26,9,15,25,2015
MAZAMITLA,558,39,119,106,30,53,211,2015
PIHUAMO,14,0,0,14,0,0,0,2015
QUITUPAN,16,0,0,16,0,0,0,2015
SANTA MARÍA DEL ORO,70,0,0,0,0,12,58,2015
TAMAZULA DE GORDIANO,101,0,0,32,24,27,18,2015
TECALITLÁN,65,0,0,0,0,48,17,2015
VALLE DE JUÁREZ,10,0,0,10,0,0,0,2015
AMACUECA,14,0,0,0,0,0,14,2015
ATEMAJAC DE BRIZUELA,29,0,0,0,0,0,29,2015
ATOYAC,24,15,0,0,0,0,9,2015
GÓMEZ FARÍAS,42,0,0,0,8,0,34,2015
SAN GABRIEL,28,0,0,0,10,0,18,2015
SAYULA,151,33,59,10,22,18,9,2015
TAPALPA,746,80,114,189,8,12,343,2015
TONILA,7,0,0,7,0,0,0,2015
TUXPAN,53,0,0,10,10,19,14,2015
ZACOALCO DE TORRES,70,0,0,0,0,34,36,2015
ZAPOTILTIC,84,0,0,0,20,12,52,2015
ZAPOTITLÁN DE VADILLO,10,0,0,0,0,0,10,2015
ZAPOTLÁN EL GRANDE,778,156,146,311,157,0,8,2015
ATENGO,15,0,0,0,0,0,15,2015
CHIQUILISTLÁN,17,0,0,0,0,0,17,2015
EL GRULLO,118,0,60,0,23,0,35,2015
EL LIMÓN,11,0,0,0,0,11,0,2015
JUCHITLÁN,8,0,0,0,0,0,8,2015
TECOLOTLÁN,79,0,0,0,0,58,21,2015
TENAMAXTLÁN,16,0,0,0,0,16,0,2015
TONAYA,9,0,0,0,0,0,9,2015
UNIÓN DE TULA,77,0,0,28,0,49,0,2015
AUTLÁN DE NAVARRO,329,0,0,161,32,83,53,2015
CASIMIRO CASTILLO,64,0,0,34,30,0,0,2015
CIHUATLÁN,2192,0,499,678,354,319,342,2015
CUAUTITLÁN DE GARCÍA BARRAGÁN,32,0,0,0,0,32,0,2015
LA HUERTA,796,135,264,46,70,47,234,2015
VILLA PURIFICACIÓN,80,0,0,0,60,10,10,2015
CABO CORRIENTES,125,3,0,63,45,0,14,2015
PUERTO VALLARTA,22962,5955,3416,1410,341,381,11459,2015
TOMATLÁN,152,27,32,0,26,0,67,2015
ATENGUILLO,5,0,0,0,0,5,0,2015
AYUTLA,39,0,0,0,0,21,18,2015
GUACHINANGO,13,0,0,0,0,0,13,2015
MASCOTA,255,37,61,61,24,0,72,2015
SAN SEBASTIÁN DEL OESTE,142,19,40,0,17,4,62,2015
TALPA DE ALLENDE,1041,0,25,134,69,257,556,2015
AHUALULCO DE MERCADO,70,24,8,0,0,9,29,2015
AMATITÁN,25,0,0,0,0,0,25,2015
AMECA,142,0,0,48,0,94,0,2015
COCULA,72,0,0,10,46,11,5,2015
EL ARENAL,40,0,0,0,0,0,40,2015
ETZATLÁN,56,0,11,21,0,13,11,2015
HOSTOTIPAQUILLO,24,0,0,0,0,0,24,2015
MAGDALENA,102,0,0,0,0,90,12,2015
SAN JUANITO DE ESCOBEDO,8,0,0,0,0,0,8,2015
SAN MARCOS,20,0,0,0,0,0,20,2015
SAN MARTÍN HIDALGO,62,0,0,0,8,31,23,2015
TALA,80,0,0,34,0,23,23,2015
TEQUILA,371,66,105,69,42,11,78,2015
TEUCHITLÁN,52,0,31,0,0,11,10,2015
CUQUÍO,42,0,0,32,10,0,0,2015
EL SALTO,168,0,156,0,0,0,12,2015
GUADALAJARA,15050,3336,4121,3000,540,1838,2215,2015
IXTLAHUACÁN DE LOS MEMBRILLOS,14,2,12,0,0,0,0,2015
IXTLAHUACÁN DEL RÍO,11,0,0,0,0,0,11,2015
SAN CRISTÓBAL DE LA BARRANCA,31,5,0,0,0,0,26,2015
SAN PEDRO TLAQUEPAQUE,2262,131,253,724,0,32,1122,2015
TLAJOMULCO DE ZÚÑIGA,423,6,135,10,0,0,272,2015
TONALÁ,361,0,0,230,0,53,78,2015
VILLA CORONA,182,0,0,0,0,20,162,2015
ZAPOPAN,4470,1067,1950,494,47,12,900,2015
ZAPOTLANEJO,177,0,36,5,71,32,33,2015
BOLAÑOS,43,0,0,25,10,8,0,2016
CHIMALTITÁN,34,0,0,0,9,0,25,2016
COLOTLÁN,162,0,62,38,0,47,15,2016
HUEJÚCAR,42,0,0,0,0,42,0,2016
HUEJUQUILLA EL ALTO,68,0,0,60,8,0,0,2016
MEZQUITIC,41,0,10,0,19,0,12,2016
SAN MARTÍN DE BOLAÑOS,22,0,0,0,12,10,0,2016
TOTATICHE,120,0,0,0,114,6,0,2016
VILLA GUERRERO,17,0,0,0,17,0,0,2016
ENCARNACIÓN DE DÍAZ,111,0,75,20,16,0,0,2016
LAGOS DE MORENO,799,157,139,154,93,0,256,2016
OJUELOS DE JALISCO,158,0,0,0,0,0,158,2016
SAN DIEGO DE ALEJANDRÍA,45,0,0,19,0,0,26,2016
SAN JUAN DE LOS LAGOS,3708,539,435,871,799,975,89,2016
TEOCALTICHE,99,0,55,0,44,0,0,2016
UNIÓN DE SAN ANTONIO,28,0,0,0,0,0,28,2016
VILLA HIDALGO,280,0,0,0,0,0,280,2016
ACATIC,85,0,0,7,0,12,66,2016
ARANDAS,383,14,60,30,97,182,0,2016
CAÑADAS DE OBREGÓN,40,0,0,0,0,0,40,2016
JALOSTOTITLÁN,151,50,27,54,0,20,0,2016
JESÚS MARÍA,12,0,0,0,0,0,12,2016
MEXTICACÁN,10,0,0,0,0,0,10,2016
SAN IGNACIO CERRO GORDO,114,0,0,0,0,0,114,2016
SAN JULIÁN,202,0,69,133,0,0,0,2016
SAN MIGUEL EL ALTO,169,0,104,35,0,30,0,2016
TEPATITLÁN DE MORELOS,469,13,244,66,0,0,146,2016
VALLE DE GUADALUPE,50,0,0,0,0,0,50,2016
YAHUALICA DE GONZÁLEZ GALLO,111,11,36,24,40,0,0,2016
ATOTONILCO EL ALTO,158,0,30,41,0,0,87,2016
AYOTLÁN,44,0,0,44,0,0,0,2016
CHAPALA,741,115,275,112,108,72,59,2016
DEGOLLADO,47,0,12,35,0,0,0,2016
JAMAY,78,0,0,0,15,26,37,2016
JOCOTEPEC,380,99,67,67,14,37,96,2016
LA BARCA,356,0,0,125,53,109,69,2016
OCOTLÁN,444,0,96,25,0,81,242,2016
PONCITLÁN,95,0,0,4,0,73,18,2016
TIZAPÁN EL ALTO,24,0,0,0,0,8,16,2016
TOTOTLÁN,17,0,0,0,0,0,17,2016
TUXCUECA,21,0,0,0,0,21,0,2016
ZAPOTLÁN DEL REY,20,20,0,0,0,0,0,2016
CONCEPCIÓN DE BUENOS AIRES,76,0,0,0,0,0,76,2016
JILOTLÁN DE LOS DOLORES,6,0,0,0,0,0,6,2016
LA MANZANILLA DE LA PAZ,114,0,0,0,0,0,114,2016
MAZAMITLA,869,115,233,133,10,0,378,2016
PIHUAMO,34,0,0,0,0,0,34,2016
QUITUPAN,16,0,0,0,0,0,16,2016
SANTA MARÍA DEL ORO,11,0,0,0,0,0,11,2016
TAMAZULA DE GORDIANO,81,0,0,0,0,0,81,2016
TECALITLÁN,31,0,11,20,0,0,0,2016
VALLE DE JUÁREZ,58,0,0,0,0,0,58,2016
AMACUECA,10,0,0,0,0,0,10,2016
ATEMAJAC DE BRIZUELA,59,19,0,8,22,0,10,2016
ATOYAC,71,41,0,0,16,14,0,2016
GÓMEZ FARÍAS,44,0,0,0,0,0,44,2016
SAN GABRIEL,42,0,0,0,0,0,42,2016
SAYULA,144,51,66,0,27,0,0,2016
TAPALPA,702,35,102,55,0,0,510,2016
TEOCUITATLÁN DE CORONA,6,0,0,0,0,0,6,2016
TOLIMÁN,16,0,0,0,0,0,16,2016
TUXPAN,51,0,0,13,0,18,20,2016
ZACOALCO DE TORRES,127,0,15,0,0,112,0,2016
ZAPOTILTIC,90,0,0,0,0,0,90,2016
ZAPOTITLÁN DE VADILLO,20,0,0,0,0,0,20,2016
ZAPOTLÁN EL GRANDE,495,0,136,209,118,32,0,2016
ATENGO,12,0,0,0,0,0,12,2016
CHIQUILISTLÁN,12,0,0,0,0,0,12,2016
EL GRULLO,141,0,60,35,29,17,0,2016
